Treatment,Growth,Length-Day0,Length-Day4
7.5,166.885,734.96,1402.5
7.5,186.063,845.248,1589.5
7.5,131.27625,821.295,1346.4
7.5,146.39025,816.939,1402.5
7.5,181.51275,769.949,1496
7.5,167.893,805.728,1477.3
7.5,193.46575,815.637,1589.5
7.5,145.427,802.092,1383.8
7.5,187.54875,876.705,1626.9
7.6,174.06875,706.225,1402.5
7.6,147.747,867.612,1458.6
7.6,158.96025,860.159,1496
7.6,195.0455,865.418,1645.6
7.6,137.498,927.308,1477.3
7.6,167.99975,749.201,1421.2
7.6,164.1885,895.346,1552.1
7.6,187.05675,841.273,1589.5
7.6,209.346,901.716,1739.1
7.6,200.53275,880.869,1683
7.6,161.0195,870.622,1514.7
7.6,173.112,915.752,1608.2
8,187.58575,970.057,1720.4
8,144.082,919.672,1496
8,150.71775,1042.729,1645.6
8,166.108,1009.218,1673.65
8,167.10725,921.071,1589.5
8,161.31775,962.929,1608.2
8,150.64625,986.915,1589.5
8,145.27325,1008.407,1589.5
8,183.0815,838.474,1570.8
8,132.80125,964.795,1496
8,179.78425,963.863,1683
8,176.307,1071.272,1776.5
8,188.11575,911.837,1664.3
8,191.13775,1011.949,1776.5
8,198.83575,925.057,1720.4
8,170.89825,849.807,1533.4
8,175.49775,943.609,1645.6
8,182.273,1066.108,1795.2
8,223.27375,920.805,1813.9
8,201.01625,935.035,1739.1
